"row_id","age","gender","education_level","job_title","years_of_experience","salary"
1,32,"Male","Bachelor's","Software Engineer",5,90000
2,28,"Female","Master's","Data Analyst",3,65000
3,45,"Male","PhD","Senior Manager",15,150000
4,36,"Female","Bachelor's","Sales Associate",7,60000
5,52,"Male","Master's","Director",20,200000
6,29,"Male","Bachelor's","Marketing Analyst",2,55000
7,42,"Female","Master's","Product Manager",12,120000
8,31,"Male","Bachelor's","Sales Manager",4,80000
9,26,"Female","Bachelor's","Marketing Coordinator",1,45000
10,38,"Male","PhD","Senior Scientist",10,110000
11,29,"Male","Master's","Software Developer",3,75000
12,48,"Female","Bachelor's","HR Manager",18,140000
13,35,"Male","Bachelor's","Financial Analyst",6,65000
14,40,"Female","Master's","Project Manager",14,130000
15,27,"Male","Bachelor's","Customer Service Representative",2,40000
16,44,"Male","Bachelor's","Operations Manager",16,125000
17,33,"Female","Master's","Marketing Manager",7,90000
18,39,"Male","PhD","Senior Engineer",12,115000
19,25,"Female","Bachelor's","Data Entry Clerk",0,35000
20,51,"Male","Bachelor's","Sales Director",22,180000
21,34,"Female","Master's","Business Analyst",5,80000
22,47,"Male","Master's","VP of Operations",19,190000
23,30,"Male","Bachelor's","IT Support",2,50000
24,36,"Female","Bachelor's","Recruiter",9,60000
25,41,"Male","Master's","Financial Manager",13,140000
26,28,"Female","Bachelor's","Social Media Specialist",3,45000
27,37,"Female","Master's","Software Manager",11,110000
28,24,"Male","Bachelor's","Junior Developer",1,40000
29,49,"Female","Master's","Senior HR Manager",19,150000
30,43,"Female","PhD","Senior Consultant",15,140000
31,33,"Male","Bachelor's","Junior Web Developer",5,50000
32,33,"Male","Master's","Product Designer",6,90000
33,50,"Male","Bachelor's","CEO",25,250000
34,31,"Female","Bachelor's","Accountant",4,55000
35,29,"Male","Master's","Data Scientist",3,75000
36,39,"Female","Bachelor's","Marketing Specialist",10,65000
37,46,"Male","PhD","Senior Manager",20,170000
38,27,"Male","Bachelor's","Technical Writer",2,45000
39,35,"Female","Bachelor's","HR Generalist",7,60000
40,42,"Male","Master's","Project Engineer",14,115000
41,26,"Female","Bachelor's","Customer Success Representative",1,40000
42,49,"Male","Bachelor's","Sales Executive",21,160000
43,34,"Female","Master's","UX Designer",5,80000
44,48,"Male","Master's","Operations Director",18,190000
45,39,"Female","Master's","Senior Project Coordinator",13,80000
46,30,"Male","Bachelor's","Network Engineer",3,60000
47,44,"Male","PhD","Chief Data Officer",16,220000
48,36,"Female","Bachelor's","Administrative Assistant",8,45000
49,30,"Female","Bachelor's","Digital Content Producer",3,50000
50,41,"Male","Master's","Strategy Consultant",13,130000
51,36,"Male","Bachelor's","IT Support Specialist",7,60000
52,28,"Female","Bachelor's","Copywriter",2,40000
53,32,"Male","Bachelor's","Account Manager",5,75000
54,45,"Female","Master's","Director of Marketing",16,180000
55,38,"Male","PhD","Senior Scientist",11,120000
56,41,"Female","Master's","Senior Marketing Analyst",14,100000
57,25,"Male","Bachelor's","Help Desk Analyst",0,35000
58,51,"Female","Bachelor's","Customer Service Manager",22,130000
59,28,"Male","Bachelor's","Customer Success Manager",2,40000
60,33,"Male","Master's","Business Intelligence Analyst",7,85000
61,42,"Female","Master's","Senior Graphic Designer",15,110000
62,37,"Male","Bachelor's","Software Project Manager",9,95000
63,50,"Female","Bachelor's","Supply Chain Analyst",22,130000
64,32,"Male","Master's","Senior Business Analyst",6,90000
65,40,"Female","Bachelor's","Event Coordinator",12,60000
66,23,"Female","Bachelor's","Junior Marketing Analyst",1,35000
67,47,"Male","Master's","VP of Finance",19,200000
68,37,"Male","Bachelor's","Senior Marketing Analyst",9,100000
69,29,"Female","Bachelor's","Graphic Designer",3,50000
70,36,"Male","Bachelor's","Sales Manager",9,95000
71,31,"Male","Master's","Senior Financial Analyst",6,95000
72,48,"Female","Master's","Director of HR",20,180000
73,27,"Female","Master's","UX Researcher",2,65000
74,40,"Female","Bachelor's","Office Manager",15,65000
75,43,"Male","PhD","Senior Engineer",17,140000
76,48,"Male","PhD","Principal Engineer",20,170000
77,30,"Female","Bachelor's","Social Media Manager",4,55000
78,29,"Female","Bachelor's","Junior HR Generalist",3,45000
79,35,"Male","Master's","Product Manager",7,105000
80,51,"Female","Master's","Director of Operations",23,170000
81,29,"Male","Bachelor's","Marketing Analyst",3,50000
82,40,"Female","Bachelor's","HR Manager",12,80000
83,47,"Male","PhD","Senior Data Scientist",21,180000
84,26,"Male","Bachelor's","Junior Accountant",1,35000
85,38,"Female","Master's","Digital Marketing Manager",10,90000
86,46,"Male","Bachelor's","IT Manager",19,120000
87,31,"Female","Bachelor's","Customer Service Representative",5,45000
88,31,"Male","Bachelor's","Junior Project Manager",3,55000
89,38,"Female","Bachelor's","Senior Operations Coordinator",9,120000
90,45,"Male","PhD","Senior Data Engineer",16,150000
91,34,"Male","Master's","Business Development Manager",8,90000
92,33,"Female","Bachelor's","Junior Marketing Manager",5,70000
93,49,"Female","Master's","Senior Financial Analyst",18,150000
94,33,"Male","Bachelor's","Web Developer",6,65000
95,39,"Female","Bachelor's","Recruiter",11,70000
96,45,"Male","PhD","Research Director",16,190000
97,36,"Male","Bachelor's","Senior Business Analyst",8,95000
98,28,"Male","Bachelor's","Technical Support Specialist",2,40000
99,42,"Female","Master's","Creative Director",14,120000
100,49,"Female","Master's","Director of Marketing",21,180000
101,37,"Male","Bachelor's","Project Manager",10,95000
102,50,"Female","Bachelor's","Operations Manager",22,160000
103,32,"Male","Master's","Senior Software Engineer",6,100000
104,48,"Female","Master's","Human Resources Director",20,180000
105,30,"Female","Bachelor's","Content Marketing Manager",3,55000
106,36,"Male","Bachelor's","Technical Recruiter",8,70000
107,31,"Male","Bachelor's","Junior Operations Analyst",3,50000
108,41,"Female","Master's","Data Analyst",13,80000
109,42,"Female","Bachelor's","Senior Project Manager",12,120000
110,25,"Male","Bachelor's","Sales Representative",0,30000
111,47,"Male","Master's","Director of Marketing",19,170000
112,52,"Male","PhD","Chief Technology Officer",24,250000
113,29,"Female","Bachelor's","Junior Business Development Associate",2,35000
114,35,"Male","Bachelor's","Senior Financial Manager",9,100000
115,29,"Female","Bachelor's","Junior Designer",2,40000
116,44,"Female","PhD","Senior Product Designer",15,150000
117,33,"Male","Bachelor's","Junior Business Analyst",4,60000
118,35,"Female","Bachelor's","Senior Marketing Analyst",8,85000
119,35,"Male","Master's","Senior Product Manager",10,120000
120,34,"Female","Master's","Financial Advisor",10,95000
121,44,"Male","Bachelor's","Senior Software Engineer",13,130000
122,42,"Female","Bachelor's","Sales Manager",17,100000
123,27,"Male","Bachelor's","Junior Account Manager",2,45000
124,53,"Male","Master's","Director of Marketing",25,180000
125,40,"Female","Bachelor's","HR Generalist",15,80000
126,33,"Female","Bachelor's","Junior Operations Analyst",5,50000
127,46,"Male","Master's","Senior Project Manager",21,135000
128,31,"Female","Bachelor's","Marketing Coordinator",6,55000
129,36,"Male","PhD","Principal Scientist",11,120000
130,29,"Female","Bachelor's","Sales Associate",3,40000
131,43,"Male","Bachelor's","Supply Chain Manager",18,105000
132,52,"Female","Master's","Senior Marketing Manager",25,170000
133,38,"Male","Bachelor's","Customer Service Manager",11,80000
134,44,"Female","PhD","Senior Scientist",16,140000
135,26,"Male","Bachelor's","Junior Accountant",2,40000
136,37,"Female","Master's","Senior HR Generalist",9,95000
137,33,"Male","Bachelor's","Business Analyst",7,75000
138,39,"Female","Bachelor's","Training Specialist",12,65000
139,47,"Male","PhD","Research Scientist",22,160000
140,45,"Male","Bachelor's","Sales Operations Manager",18,110000
141,26,"Male","Bachelor's","Junior Software Developer",1,35000
142,32,"Female","Bachelor's","Marketing Coordinator",4,50000
143,38,"Female","Master's","Public Relations Manager",10,90000
144,34,"Male","Master's","Senior Software Developer",8,105000
145,45,"Male","Bachelor's","Operations Analyst",20,110000
146,31,"Female","Master's","Data Scientist",9,195000
147,31,"Female","Bachelor's","Event Coordinator",5,45000
148,35,"Male","Master's","Product Marketing Manager",8,95000
149,28,"Male","Bachelor's","Software Engineer",5,160000
150,34,"Female","Master's","Senior Financial Advisor",6,80000
151,50,"Female","Master's","Director of Operations",21,160000
152,36,"Male","Bachelor's","Senior Marketing Specialist",8,95000
153,29,"Male","Bachelor's","Junior Web Designer",3,45000
154,30,"Female","Bachelor's","Junior HR Coordinator",2,40000
155,40,"Female","Master's","Senior Training Specialist",12,100000
156,37,"Male","Bachelor's","Senior Business Development Manager",10,120000
157,47,"Male","PhD","Senior Research Scientist",22,160000
158,27,"Male","Bachelor's","Junior Sales Representative",1,35000
159,39,"Female","Bachelor's","Administrative Assistant",10,55000
160,45,"Female","Master's","Senior Marketing Manager",16,160000
161,32,"Male","Bachelor's","Junior Financial Advisor",4,65000
162,33,"Female","Master's","Product Manager",11,198000
163,39,"Female","Bachelor's","Senior Project Manager",12,130000
164,47,"Male","PhD","Director of Engineering",20,180000
165,25,"Male","Bachelor's","Data Analyst",2,110000
